Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FJUN,604,0,0.00,0,0.00,45.72,604,0
IBMN,600,0,0.00,0,0.00,26.40,600,0
PMAY,600,0,0.00,0,0.00,32.52,600,0
VFMF,599,0,0.00,0,0.00,119.70,599,0
RDFI,597,0,0.00,0,0.00,22.36,597,0
PTEU,593,0,0.00,0,0.00,25.46,593,0
XDAP,589,0,0.00,0,0.00,30.28,589,0
DECZ,555,0,0.00,0,0.00,32.92,555,0
BINV,551,0,0.00,0,0.00,28.42,551,0
GNOV,547,0,0.00,0,0.00,32.51,547,0
GSEP,545,0,0.00,0,0.00,32.57,545,0
BUFT,520,0,0.00,0,0.00,21.08,520,0
QUVU,512,0,0.00,0,0.00,23.57,512,0
UJUN,512,0,0.00,0,0.00,30.90,512,0
FPRO,510,0,0.00,0,0.00,19.35,510,0
HSRT,502,0,0.00,0,0.00,39.07,502,0
SHDG,500,0,0.00,0,0.00,25.24,0,500
SMAY,500,0,0.00,0,0.00,21.88,500,0
USEP,500,0,0.00,0,0.00,32.20,500,0
BOCT,491,0,0.00,0,0.00,39.80,491,0
SELV,487,0,0.00,0,0.00,26.52,487,0
GTIP,463,0,0.00,0,0.00,48.15,463,0
LOCT,461,0,0.00,0,0.00,23.98,461,0
JANJ,454,0,0.00,0,0.00,24.65,454,0
BJUN,450,0,0.00,0,0.00,37.01,450,0
TMAT,446,0,0.00,0,0.00,15.56,446,0
AMZP,429,0,0.00,0,0.00,29.84,429,0
TGLR,423,0,0.00,0,0.00,25.70,423,0
IQM,421,0,0.00,0,0.00,52.77,421,0
BNOV,418,0,0.00,0,0.00,35.87,418,0
BDEC,400,0,0.00,0,0.00,39.71,400,0
ARKY,398,0,0.00,0,0.00,37.85,398,0
IBHJ,394,0,0.00,0,0.00,25.46,394,0
HOCT,393,0,0.00,0,0.00,24.09,393,0
FPFD,382,0,0.00,0,0.00,21.03,382,0
EAOR,377,0,0.00,0,0.00,29.01,377,0
HELX,363,0,0.00,0,0.00,29.43,363,0
TYLD,357,0,0.00,0,0.00,25.26,357,0
FLIA,349,0,0.00,0,0.00,20.02,349,0
GAUG,343,0,0.00,0,0.00,32.42,343,0
DFEB,342,0,0.00,0,0.00,38.02,342,0
XIMR,335,0,0.00,0,0.00,30.71,335,0
KJUL,333,0,0.00,0,0.00,26.57,333,0
DURA,328,0,0.00,0,0.00,31.28,328,0
PSMD,319,0,0.00,0,0.00,26.46,319,0
USMF,319,0,0.00,0,0.00,44.09,319,0
BLDG,318,0,0.00,0,0.00,23.35,218,100
VWID,317,0,0.00,0,0.00,26.31,317,0
VFMV,316,0,0.00,0,0.00,107.62,316,0
BJUL,314,0,0.00,0,0.00,38.93,314,0
UNOV,312,0,0.00,0,0.00,32.32,312,0
UDEC,305,0,0.00,0,0.00,32.79,305,0
UMAR,302,0,0.00,0,0.00,31.70,302,0
UJAN,300,0,0.00,0,0.00,35.25,300,0
FJAN,290,0,0.00,0,0.00,40.88,290,0
BALI,274,0,0.00,0,0.00,27.35,274,0
IAUF,271,0,0.00,0,0.00,62.79,271,0
SEIV,271,0,0.00,0,0.00,29.32,271,0
WUGI,268,0,0.00,0,0.00,56.29,268,0
PBTP,257,0,0.00,0,0.00,25.06,157,100
FRNW,256,0,0.00,0,0.00,13.83,256,0
SEIQ,247,0,0.00,0,0.00,30.49,247,0
QCON,243,0,0.00,0,0.00,41.20,243,0
XDEC,243,0,0.00,0,0.00,34.77,243,0
ESG,242,0,0.00,0,0.00,119.77,242,0
AAPY,235,0,0.00,0,0.00,23.00,235,0
BJAN,221,0,0.00,0,0.00,42.17,221,0
FSEP,217,0,0.00,0,0.00,41.45,217,0
TSLP,213,0,0.00,0,0.00,17.04,213,0
FBUF,212,0,0.00,0,0.00,24.30,212,0
FIBR,210,0,0.00,0,0.00,84.43,210,0
NULC,209,0,0.00,0,0.00,40.49,181,28
PBAP,204,0,0.00,0,0.00,24.50,204,0
FDEM,203,0,0.00,0,0.00,23.90,203,0
EAOA,202,0,0.00,0,0.00,32.37,202,0
AUGZ,200,0,0.00,0,0.00,35.03,200,0
BBLB,200,0,0.00,0,0.00,84.79,200,0
GVAL,200,0,0.00,0,0.00,21.14,200,0
IPPP,200,0,0.00,0,0.00,9.59,200,0
DMAY,198,0,0.00,0,0.00,37.24,198,0
GHEE,195,0,0.00,0,0.00,26.52,195,0
DALT,182,0,0.00,0,0.00,8.89,182,0
YDEC,181,0,0.00,0,0.00,22.86,181,0
TOKE,180,0,0.00,0,0.00,6.01,180,0
BUFZ,179,0,0.00,0,0.00,21.86,179,0
WDNA,177,0,0.00,0,0.00,15.00,177,0
TJUL,176,0,0.00,0,0.00,25.95,176,0
UJUL,176,0,0.00,0,0.00,31.31,176,0
APRJ,171,0,0.00,0,0.00,24.36,171,0
FDEV,170,0,0.00,0,0.00,26.24,170,0
IVVW,169,0,0.00,0,0.00,48.14,164,5
XJAN,167,0,0.00,0,0.00,31.31,167,0
FDHT,166,0,0.00,0,0.00,17.92,166,0
MAMB,165,0,0.00,0,0.00,21.76,165,0
